block,book,sample,selection,family,forecast,theta,rule,n_days,n_traded,n_satout,frac_satout,mean_traded,mean_calendar,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,mean_satout,mean_weight,mean_weight_traded,Sharpe_always_sell,delta_Sharpe,mean_always_sell,beats_always_sell,modal_pick,modal_pick_share,frac_null_chosen
fixed_cell_oos,hold_settle,whole,,margin,enet,0.0,"sell only when v >= 0.00, elastic net (causally tuned)",797,449,348,0.4366373902132999,0.1215674317373505,0.0684865456086203,0.29352454765104846,3.703915790710082,6.587035357904378,-3.492052136265862,-2.086057830199802,2024-04-04,0.0698957781168572,0.5633626097867002,1.0,3.9717911256867424,-0.2678753349766603,0.09900565575249269,False,"sell only when v >= 0.00, elastic net (causally tuned)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,enet,0.05,"sell only when v >= 0.05, elastic net (causally tuned)",797,357,440,0.5520702634880803,0.11785838905814404,0.05279227715653378,0.2671542805543833,3.13695673251737,5.578756667506937,-3.5310345174324596,-2.086057830199802,2024-04-04,0.0837092335022256,0.4479297365119197,1.0,3.9717911256867424,-0.8348343931693725,0.09900565575249269,False,"sell only when v >= 0.05, elastic net (causally tuned)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,enet,0.1,"sell only when v >= 0.10, elastic net (causally tuned)",797,253,544,0.6825595984943539,0.10283504469722052,0.03264399787753675,0.24069890709615757,2.1529279353573267,3.828762108681754,-2.7560426051781306,-2.086057830199802,2024-04-04,0.09722470832047773,0.3174404015056462,1.0,3.9717911256867424,-1.8188631903294157,0.09900565575249269,False,"sell only when v >= 0.10, elastic net (causally tuned)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,enet,0.15,"sell only when v >= 0.15, elastic net (causally tuned)",797,184,613,0.7691342534504392,0.10759825213633542,0.02484075080688296,0.19206637815166036,2.053116729152147,3.651258088196839,-3.2086722755039148,-1.5903495409908224,2023-07-27,0.09642647510872913,0.23086574654956085,1.0,3.9717911256867424,-1.9186743965345956,0.09900565575249269,False,"sell only when v >= 0.15, elastic net (causally tuned)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,enet,0.2,"sell only when v >= 0.20, elastic net (causally tuned)",797,120,677,0.849435382685069,0.07914164145309018,0.011915930959060001,0.16566788107461763,1.1417997171082936,2.0305740014666136,-2.4383767776984557,-1.5903495409908224,2023-07-27,0.10252660363421841,0.15056461731493098,1.0,3.9717911256867424,-2.829991408578449,0.09900565575249269,False,"sell only when v >= 0.20, elastic net (causally tuned)",1.0,
fixed_cell_oos,hold_settle,whole,,margin,enet,0.3,"sell only when v >= 0.30, elastic net (causally tuned)",797,48,749,0.9397741530740276,0.06590400059518788,0.00396912425165498,0.09567698514662942,0.6585480725485239,1.171160383731425,-3.506602053104154,-1.1533720428549503,2022-03-25,0.10112699012839475,0.060225846925972396,1.0,3.9717911256867424,-3.3132430531382187,0.09900565575249269,False,"sell only when v >= 0.30, elastic net (causally tuned)",1.0,
fixed_cell_oos,hold_settle,whole,,reference,,,always sell (no margin),797,797,0,0.0,0.09900565575249269,0.09900565575249269,0.3957071284276193,3.9717911256867424,7.06342424002404,-3.475653002635884,-2.297983622740885,2023-11-30,,1.0,1.0,3.9717911256867424,0.0,0.09900565575249269,False,always sell (no margin),1.0,
fixed_cell_oos,hold_settle,whole,,reference,a0,,"size by margin, baseline (HAR + calendar OLS)",797,569,228,0.2860727728983689,0.31737877317874225,0.22658534747641704,1.850044911810094,1.944239763024607,3.4576315410322853,-23.379845735644107,-16.907118096069933,2020-08-26,0.08998567895944959,1.9503041519673947,2.7317968525799885,3.9717911256867424,-2.0275513626621353,0.09900565575249269,False,"size by margin, baseline (HAR + calendar OLS)",1.0,
fixed_cell_oos,hold_settle,whole,,reference,blk2,,"size by margin, block-diagonal ridge",797,576,221,0.27728983688833125,0.7538789336925622,0.5448359671354025,7.659957258543751,1.1291189433903044,2.0080225425334803,-176.21562377997512,-146.28703885523882,2020-08-19,0.10818945949109991,4.379610590281936,6.059982014678304,3.9717911256867424,-2.842672182296438,0.09900565575249269,False,"size by margin, block-diagonal ridge",1.0,
fixed_cell_oos,hold_settle,whole,,reference,blk2_inc,,"size by margin, block-diagonal ridge, without the FOMC columns",797,591,206,0.2584692597239649,0.30562089544933413,0.2266272888463695,3.1023344696660704,1.159641784180999,2.062304292679168,-61.30378047054327,-61.30378047054327,2020-08-26,0.10128221676318389,2.716755125708385,3.66371207307882,3.9717911256867424,-2.8121493415057435,0.09900565575249269,False,"size by margin, block-diagonal ridge, without the FOMC columns",1.0,
fixed_cell_oos,hold_settle,whole,,reference,lgbm,,"size by margin, LightGBM",797,567,230,0.28858218318695106,0.13745515098895333,0.09778804342626916,3.556147051927637,0.43652218030958545,0.7763100455524949,-76.29366711192492,-57.846753007404786,2023-02-07,0.10345175427141703,3.0274832437789017,4.2555628664758105,3.9717911256867424,-3.535268945377157,0.09900565575249269,False,"size by margin, LightGBM",1.0,
fixed_cell_oos,hold_settle,whole,,reference,xgb,,"size by margin, XGBoost",797,573,224,0.2810539523212045,0.5462286543791798,0.39270893219481817,4.740708427595117,1.3150062123710338,2.3386040358901656,-35.14755016758607,-30.760046299669483,2020-08-19,0.10096428680531865,2.750620265780326,3.8259063731708904,3.9717911256867424,-2.6567849133157084,0.09900565575249269,False,"size by margin, XGBoost",1.0,
fixed_cell_oos,hold_settle,whole,,reference,lasso_t,,"size by margin, lasso (causally tuned)",797,585,212,0.2659974905897114,0.2746242252374411,0.20157487046913813,2.946063202259427,1.0861619888107898,1.9316279929076892,-72.56561256301008,-70.32898560465419,2022-11-02,0.08553509971892424,2.0764082127979706,2.828884351452962,3.9717911256867424,-2.8856291368759526,0.09900565575249269,False,"size by margin, lasso (causally tuned)",1.0,
