,pc1_share
2022-11-09,0.9230797794540212
2022-11-10,0.9230805668847925
2022-11-11,0.9230823023333149
2022-11-14,0.9230808989897893
2022-11-15,0.9230790283444904
2022-11-16,0.9230827421245573
2022-11-17,0.9230789591652162
2022-11-18,0.9230790600126405
2022-11-21,0.9230796083959072
2022-11-22,0.9230791552448998
2022-11-23,0.9230799712178516
2022-11-25,0.9230805436616315
2022-11-28,0.9230822727150632
2022-11-29,0.9230807780032363
2022-11-30,0.923079119756024
2022-12-01,0.9230794342442252
2022-12-02,0.9230778933662906
2022-12-05,0.9230776548788263
2022-12-06,0.92307789521105
2022-12-07,0.9230771930983456
2022-12-08,0.92307649802995
2022-12-09,0.9230759859009642
2022-12-12,0.9230751871339586
2022-12-13,0.923077193519688
2022-12-14,0.923074207557592
2022-12-15,0.9230444938370584
2022-12-16,0.9230442929891535
2022-12-19,0.9230460431956146
2022-12-20,0.9230443815196973
2022-12-21,0.923041780138445
2022-12-22,0.923037741407505
2022-12-23,0.9230421230755018
2022-12-27,0.923041433565172
2022-12-28,0.9230402633931897
2022-12-29,0.9230393840660042
2022-12-30,0.9230382382019541
2023-01-03,0.923041417570997
2023-01-04,0.9230404361750643
2023-01-05,0.9230398794064418
2023-01-06,0.9230362496780967
2023-01-09,0.9230358119063335
2023-01-10,0.9230345070083107
2023-01-11,0.9230328789464718
2023-01-12,0.9230319760719277
2023-01-13,0.9230309427180815
2023-01-17,0.923031206608183
2023-01-18,0.9230293794058668
2023-01-19,0.9230280343288815
2023-01-20,0.9230266114197155
2023-01-23,0.9230280268935726
2023-01-24,0.9230283067328108
2023-01-25,0.9230279288560054
2023-01-26,0.9230270919322516
2023-01-27,0.9230258559411183
2023-01-30,0.9230266087134337
2023-01-31,0.9230270642683804
2023-02-01,0.9230276112952345
2023-02-02,0.9230378004029124
2023-02-03,0.9230280981663299
2023-02-06,0.9230286959210796
2023-02-07,0.9230270843868795
2023-02-08,0.9230225164465067
2023-02-09,0.9230207622569447
2023-02-10,0.923017883152266
2023-02-13,0.9230172424338111
2023-02-14,0.923017334487465
2023-02-15,0.9230156835147996
2023-02-16,0.9230152352885601
2023-02-17,0.9230108927381601
2023-02-21,0.9230109999375432
2023-02-22,0.9230088061668639
2023-02-23,0.923008213341543
2023-02-24,0.9230068336924324
2023-02-27,0.9230063634582363
2023-02-28,0.9230054668086237
2023-03-01,0.9230041708466318
2023-03-02,0.923002747329
2023-03-03,0.9230011461853189
2023-03-06,0.9230011053806321
2023-03-07,0.9229998277204837
2023-03-08,0.9229986800685529
2023-03-09,0.9229972982339683
2023-03-10,0.9229888416568441
2023-03-13,0.9229749231929811
2023-03-14,0.9229705952150269
2023-03-15,0.9229662000163749
2023-03-16,0.9229577842541753
2023-03-17,0.922956684186974
2023-03-20,0.9229620766221781
2023-03-21,0.9229588857774925
2023-03-22,0.9229583235086082
2023-03-23,0.9229115517599457
2023-03-24,0.922819531919242
2023-03-27,0.9228209796005181
