window,views,representation,weighting,d,captured,null_mean,null_std
2013-11-06..2015-09-24,resid,raw960,heat,19,0.004932888848700927,0.001574765757115072,0.00042634395564728
2013-11-06..2015-09-24,resid,raw960,heat,20,0.005161053834586693,0.0016850649839436284,0.00042466030414900296
2013-11-06..2015-09-24,resid,raw960,heat,21,0.005460672291574351,0.0017387207863729052,0.000437037273023977
2013-11-06..2015-09-24,resid,raw960,heat,22,0.005730295685667996,0.0018077278993322479,0.0004474205126197173
2013-11-06..2015-09-24,resid,raw960,heat,23,0.0058129656681163416,0.001900530587737374,0.0004086536793864372
2013-11-06..2015-09-24,resid,raw960,heat,24,0.005818353700910039,0.0019341633121040974,0.0004130488684521226
2013-11-06..2015-09-24,resid,raw960,heat,25,0.005851374654244766,0.0020405521823261235,0.0003795064174634484
2013-11-06..2015-09-24,resid,raw960,heat,26,0.005891663314347056,0.002097316299005441,0.00039500593579300225
2013-11-06..2015-09-24,resid,raw960,heat,27,0.006234524734304153,0.0021287511921183493,0.0004017224090273945
2013-11-06..2015-09-24,resid,raw960,heat,28,0.00624472627729935,0.002250035723045176,0.00044230963213348894
2013-11-06..2015-09-24,resid,raw960,heat,29,0.006283558336576388,0.002373120644395758,0.00044201539151811353
2013-11-06..2015-09-24,resid,raw960,heat,30,0.006301843142885473,0.002425066010690174,0.00042633332711460264
2013-11-06..2015-09-24,resid,raw960,heat,31,0.006303460181267735,0.0025488079823825,0.000449038765558141
2013-11-06..2015-09-24,resid,raw960,heat,32,0.006305926723459174,0.0026377133912694048,0.0004720539668639215
2013-11-06..2015-09-24,resid,raw960,heat,33,0.00633236636730918,0.002679328525234839,0.00048421720701949996
2013-11-06..2015-09-24,resid,raw960,heat,34,0.006407502955020039,0.0028243419346276034,0.0004996627750684273
2013-11-06..2015-09-24,resid,raw960,heat,35,0.006554241128752901,0.0030433416985358353,0.0006293896972273314
2013-11-06..2015-09-24,resid,raw960,heat,36,0.006554467433255716,0.0030840108827678027,0.0006223844114294618
2013-11-06..2015-09-24,resid,raw960,heat,37,0.006783306267096884,0.003183453901622622,0.0006276384926445503
2013-11-06..2015-09-24,resid,raw960,heat,38,0.0073105977424170855,0.0033048997609751206,0.0006942423882942186
2013-11-06..2015-09-24,resid,raw960,heat,39,0.007601617254808482,0.00336629337425174,0.0007028023410084636
2013-11-06..2015-09-24,resid,raw960,heat,40,0.00767211317105384,0.0034181768341496445,0.0007085467669467163
2013-11-06..2015-09-24,resid,raw960,heat,41,0.007884887484225613,0.0034609753074865387,0.000711925500956087
2013-11-06..2015-09-24,resid,raw960,heat,42,0.007889990613195563,0.003553527327564473,0.0006952599693589329
2013-11-06..2015-09-24,resid,raw960,heat,43,0.007903263438026362,0.003639024190962165,0.0007322283888207998
2013-11-06..2015-09-24,resid,raw960,heat,44,0.008182045599902269,0.0037837779060168066,0.0008097285945095709
2013-11-06..2015-09-24,resid,raw960,heat,45,0.008424459504275136,0.0038766794983041432,0.0007773583229748097
2013-11-06..2015-09-24,resid,raw960,heat,46,0.008430083642088353,0.003982799289117316,0.000761213006513911
2013-11-06..2015-09-24,resid,raw960,heat,47,0.008541819720827728,0.004057349217181596,0.0007586660949204458
2013-11-06..2015-09-24,resid,raw960,heat,48,0.008651430710469508,0.004157476336760555,0.0007355168960335456
2013-11-06..2015-09-24,resid,raw960,heat,49,0.008759415688535409,0.004202320434577992,0.0007390163868751967
2013-11-06..2015-09-24,resid,raw960,heat,50,0.008830085807733187,0.004285597134297157,0.0007468571930616885
2013-11-06..2015-09-24,resid,raw960,heat,51,0.008856962401439822,0.004346561784400576,0.0007787095972777977
2013-11-06..2015-09-24,resid,raw960,heat,52,0.00886353291794169,0.004485042500458123,0.0007152733473264744
2013-11-06..2015-09-24,resid,raw960,heat,53,0.008880266722689073,0.004574937654819434,0.0007239348816268827
2013-11-06..2015-09-24,resid,raw960,heat,54,0.008995200369310495,0.0046299771449263855,0.0007168285421639562
2013-11-06..2015-09-24,resid,raw960,heat,55,0.009005496207194253,0.004727588258620145,0.0007095135809288127
2013-11-06..2015-09-24,resid,raw960,heat,56,0.0092747020790755,0.0048683038200937325,0.000763237480031331
2013-11-06..2015-09-24,resid,raw960,heat,57,0.009322197845163907,0.004910057151417976,0.0007577917942946376
2013-11-06..2015-09-24,resid,raw960,heat,58,0.00933283992375656,0.005020824118649216,0.0007809451444723628
2013-11-06..2015-09-24,resid,raw960,heat,59,0.009342786755270876,0.005209207139679505,0.0008570716404979756
2013-11-06..2015-09-24,resid,raw960,heat,60,0.009439727937631079,0.005296481472098892,0.0008554878579829183
2013-11-06..2015-09-24,resid,raw960,heat,61,0.009439847029484109,0.005342605580267915,0.0008573621313324426
2013-11-06..2015-09-24,resid,raw960,heat,62,0.009502319838791523,0.005423244038949582,0.0008766886692456369
2013-11-06..2015-09-24,resid,raw960,heat,63,0.009600496438660101,0.005514898645738853,0.0009177506100143557
2013-11-06..2015-09-24,resid,raw960,heat,64,0.009673720265785252,0.005610287875062495,0.0010054655951535912
2013-11-06..2015-09-24,resid,recw,binary,1,0.00010561561063541904,2.66251485236971e-05,2.8469793986330115e-05
2013-11-06..2015-09-24,resid,recw,binary,2,0.00011237184283633931,0.00012178887296007296,9.070734914684457e-05
2013-11-06..2015-09-24,resid,recw,binary,3,0.00016653079325498066,0.0001995304670852727,0.00014219551830238142
2013-11-06..2015-09-24,resid,recw,binary,4,0.0004723234204074014,0.00032258063857396795,0.00017320797010584462
