,sign(s),tail: p-hat > break-even p*,tail: p-hat > trailing top quintile,sign(s) AND p-hat > trailing median,sign(s) OR break-even
2023-05-19,0.5285760574602425,0.5285760574602425,0.5285760574602425,0.5285760574602425,0.5285760574602425
2023-05-22,0.31300947288897263,-0.28556954960742287,0.31300947288897263,0.31300947288897263,-0.2210861029218758
2023-05-23,-0.027888762545529522,-0.027888762545529522,-0.027888762545529522,-0.027888762545529522,-0.027888762545529522
2023-05-24,-0.5869538585975373,-0.5869538585975373,-0.5869538585975373,-0.5869538585975373,-0.5869538585975373
2023-05-25,0.2484414167477932,-0.23175537533185137,-0.5462805275679353,0.2484414167477932,-0.17942351638594944
2023-05-26,1.0,1.0,1.0,1.0,1.0
2023-05-30,1.0,-0.8143939393939394,-1.9196428571428572,1.0,-0.6304985337243403
2023-05-31,-0.37864583333333335,0.25151827464321813,0.5928645045161569,-0.37864583333333335,0.1947238255302334
2023-06-01,1.0,1.0,1.0,1.0,1.0
2023-06-02,1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2023-06-05,-1.0,-0.8143939393939394,1.0,-1.6044776119402986,-0.6304985337243403
2023-06-06,-1.0,-0.8143939393939394,-1.9196428571428572,-1.6044776119402986,-0.6304985337243403
2023-06-07,-0.008007812500000044,-0.0065215139678030665,-0.015372140066964371,-0.012848355876865744,-0.005048914039589471
2023-06-08,-1.0,-0.8143939393939394,-1.9196428571428572,-1.6044776119402986,-0.6304985337243403
2023-06-09,-0.6199544270833333,-0.5048871281171086,-1.190091087704613,-0.9947029986784826,-0.3908803572519551
2023-06-12,0.04142051886164311,-0.06128538951091796,0.04142051886164311,0.04142051886164311,-0.04744675316974294
2023-06-13,-1.0,-0.8143939393939394,-1.9196428571428572,-1.6044776119402986,-0.6304985337243403
2023-06-14,0.6679687581192222,0.6679687581192222,0.6679687581192222,0.6679687581192222,0.6679687581192222
2023-06-15,0.2701480018932946,0.2701480018932946,0.2701480018932946,0.2701480018932946,0.2701480018932946
2023-06-16,0.9127327092244862,0.9127327092244862,0.9127327092244862,0.9127327092244862,0.9127327092244862
2023-06-20,-0.483984375,-0.3941539417613637,-0.9290771484375001,-0.776542094216418,-0.3051514387829913
2023-06-21,0.3903415246268711,0.31789177194991397,-0.4862270524180494,0.6262942372744574,0.2461097589289657
2023-06-22,1.5055042613636362,-1.6500526813379683,-1.6500526813379683,2.41554788203867,0.9492182293055186
2023-06-23,-1.0,1.0,1.0,-1.6044776119402986,-0.6304985337243403
2023-06-26,2.9228688264434823,2.380366657899048,5.6108642650477565,4.689677594666781,1.8428645093411988
2023-06-27,-0.45177803526983473,0.43219865104468635,0.43219865104468635,0.43219865104468635,-0.28484538880649407
2023-06-28,0.9055176286039783,0.7374480687494521,-0.9883661409963229,1.4528827623123535,0.57092753709635
2023-06-29,-0.5118842769576852,-0.4168754528253876,0.47638494318181823,-0.8213068622828532,-0.32274228605836464
2023-06-30,0.04739849930986417,-0.06187485203598481,-0.14584786551339277,0.04739849930986417,-0.04790311125366567
2023-07-05,1.1201171875,0.9122166489109849,-1.2715541681486227,1.7972029500932836,0.706232244318182
2023-07-06,-1.0,-0.8143939393939394,-1.9196428571428572,-1.6044776119402986,-0.6304985337243403
2023-07-07,4.015563890106024,3.270250895351497,-4.349934895833333,6.442882360991009,2.5318071447882557
2023-07-10,0.7422251240005906,0.6044636426519961,1.4248071576797052,1.1908835944785596,0.467971852375739
2023-07-11,-1.9396080459228986,1.436679857587392,-1.9396080459228986,-1.9396080459228986,1.112268276841852
2023-07-12,1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2023-07-13,1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2023-07-14,-0.8936906594235703,-0.7278162567275289,0.8880208333333334,-1.4339066550452808,-0.5634706503696998
2023-07-17,0.45433065841436227,0.45433065841436227,0.45433065841436227,0.45433065841436227,0.45433065841436227
2023-07-18,-0.993933475291129,0.9935420864948792,0.9935420864948792,0.9935420864948792,-0.6266735987905946
2023-07-19,0.5851057254018237,0.4765065566719398,1.123194026441001,0.9387890370253142,0.3689083019395663
2023-07-20,0.2024980143559767,-0.24874796625900353,-0.24874796625900353,0.3249035304965298,0.1276747011335337
2023-07-21,-1.0,1.0,1.0,1.0,-0.6304985337243403
2023-07-24,0.4500428110386616,0.3665121377776979,0.8639214676188594,0.7220836147262109,0.2837513324730565
2023-07-25,-0.07634943181818177,-0.062178514548898035,0.04149472789063624,-0.12250095403663493,-0.0481382048120501
2023-07-26,0.18421056594214735,-0.24999997792420592,-0.24999997792420592,-0.24999997792420592,0.1161444917230548
2023-07-27,-0.4971177277589497,0.4767992222641154,0.4767992222641154,0.4767992222641154,-0.31343199844039354
2023-07-28,0.449387564511355,-0.38708039146056156,-0.9124037798713236,0.449387564511355,-0.29967514177591864
2023-07-31,2.037275090445508,1.6591444865370617,3.910840575408788,3.268762271983465,1.2844989573190155
2023-08-01,1.0,-0.8143939393939394,-1.9196428571428572,1.0,-0.6304985337243403
