,w0p5_K_c,w0p5_K_p,w0p5_entry,w0p5_ask,w0p5_pay,w1_K_c,w1_K_p,w1_entry,w1_ask,w1_pay,w2_K_c,w2_K_p,w2_entry,w2_ask,w2_pay
2021-06-28,4310.0,4265.0,0.10000000149011612,0.15000000223517418,0.0,4335.0,4245.0,0.05000000074505806,0.10000000149011612,0.0,4375.0,4200.0,0.05000000074505806,0.10000000149011612,0.0
2021-06-30,4320.0,4275.0,0.12500000186264515,0.20000000298023224,0.0,4340.0,4250.0,0.05000000074505806,0.10000000149011612,0.0,4385.0,4210.0,0.05000000074505806,0.10000000149011612,0.0
2021-07-02,4375.0,4325.0,0.10000000149011612,0.15000000223517418,0.0,4395.0,4305.0,0.05000000074505806,0.10000000149011612,0.0,4440.0,4260.0,0.05000000074505806,0.10000000149011612,0.0
2021-07-06,4365.0,4320.0,0.10000000149011612,0.15000000223517418,0.0,4390.0,4295.0,0.05000000074505806,0.10000000149011612,0.0,4430.0,4255.0,0.05000000074505806,0.10000000149011612,0.0
2021-07-07,4385.0,4335.0,0.10000000149011612,0.15000000223517418,0.0,4405.0,4315.0,0.05000000074505806,0.10000000149011612,0.0,4450.0,4270.0,0.05000000074505806,0.10000000149011612,0.0
2021-07-09,4395.0,4345.0,0.1250000037252903,0.20000000670552254,0.0,4415.0,4325.0,0.10000000149011612,0.15000000223517418,0.0,4460.0,4280.0,0.05000000074505806,0.10000000149011612,0.0
2021-07-12,4410.0,4360.0,0.05000000074505806,0.10000000149011612,0.0,4430.0,4340.0,0.05000000074505806,0.10000000149011612,0.0,4475.0,4295.0,0.05000000074505806,0.10000000149011612,0.0
2021-07-14,4400.0,4350.0,0.10000000149011612,0.15000000223517418,0.0,4420.0,4330.0,0.05000000074505806,0.10000000149011612,0.0,4465.0,4285.0,0.05000000074505806,0.10000000149011612,0.0
2021-07-16,4355.0,4305.0,0.27500000409781933,0.3500000014901161,0.0,4375.0,4285.0,0.15000000409781933,0.20000000670552254,0.0,4420.0,4240.0,0.05000000074505806,0.10000000149011612,0.0
2021-07-19,4260.0,4215.0,0.675000011920929,0.800000011920929,0.0,4280.0,4190.0,0.1250000037252903,0.20000000670552254,0.0,4325.0,4150.0,0.05000000074505806,0.10000000149011612,0.0
