,s,r_mid,r_ask,r_bid,sign_crossed,"size_(i) rank of s, trailing 252","crossed_(i) rank of s, trailing 252",size_(ii) top trailing quintile x2,crossed_(ii) top trailing quintile x2,"size_(iii) Kelly by s-quintile, expanding","crossed_(iii) Kelly by s-quintile, expanding",size_(iv) month-end x2,crossed_(iv) month-end x2,tag
2022-02-22,-1.8858704132133373e-06,0.31004754853538774,0.2729707459496731,0.34934895833333335,-0.34934895833333335,-1.0,-0.34934895833333335,-1.0,-0.34934895833333335,-1.0,-0.34934895833333335,-1.0,-0.34934895833333335,blk2
2022-02-23,-6.131731527267445e-07,-0.013605429378242606,-0.033333333333333326,0.006944404432068785,-0.006944404432068785,-1.0,-0.006944404432068785,-1.0,-0.006944404432068785,-1.0,-0.006944404432068785,-1.0,-0.006944404432068785,blk2
2022-02-25,-2.07135518741829e-06,-0.2744434432059346,-0.2904483769795929,-0.25769981971153844,0.25769981971153844,-1.0,0.25769981971153844,-1.0,0.25769981971153844,-1.0,0.25769981971153844,-1.0,0.25769981971153844,blk2
2022-02-28,-9.55584992961389e-06,0.6350249558252126,0.6077745225694444,0.6632148774934197,-0.6632148774934197,-1.0,-0.6632148774934197,-1.0,-0.6632148774934197,-1.0,-0.6632148774934197,-1.0,-0.6632148774934197,blk2
2022-03-02,-5.427131320749438e-06,-0.7408268942159795,-0.7455911146727418,-0.7358808521567526,0.7358808521567526,-1.0,0.7358808521567526,-1.0,0.7358808521567526,-1.0,0.7358808521567526,-1.0,0.7358808521567526,blk2
2022-03-04,-1.9353432207986153e-06,0.07105153604531811,0.050766468781651364,0.09213522801639873,-0.09213522801639873,-1.0,-0.09213522801639873,-1.0,-0.09213522801639873,-1.0,-0.09213522801639873,-1.0,-0.09213522801639873,blk2
2022-03-07,-5.78744469845346e-06,0.2160872037331043,0.18931803167854233,0.2440891645286376,-0.2440891645286376,-1.0,-0.2440891645286376,-1.0,-0.2440891645286376,-1.0,-0.2440891645286376,-1.0,-0.2440891645286376,blk2
2022-03-09,-5.665806954167137e-06,-0.006547794813848817,-0.030390625000000004,0.018497275296292193,-0.018497275296292193,-1.0,-0.018497275296292193,-1.0,-0.018497275296292193,-1.0,-0.018497275296292193,-1.0,-0.018497275296292193,blk2
2022-03-11,-1.2715581554132256e-06,0.4199041751515631,0.37631069572551445,0.4663495595807541,-0.4663495595807541,-1.0,-0.4663495595807541,-1.0,-0.4663495595807541,-1.0,-0.4663495595807541,-1.0,-0.4663495595807541,blk2
2022-03-14,-3.340705051428575e-06,-0.85680782226805,-0.8599898726851851,-0.8534777694074578,0.8534777694074578,-1.0,0.8534777694074578,-1.0,0.8534777694074578,-1.0,0.8534777694074578,-1.0,0.8534777694074578,blk2
2022-03-16,-1.649591171041894e-06,1.0594471601490256,1.0052512321221614,1.1166541570489783,-1.1166541570489783,-1.0,-1.1166541570489783,-1.0,-1.1166541570489783,-1.0,-1.1166541570489783,-1.0,-1.1166541570489783,blk2
2022-03-18,-7.4121483464203464e-06,-0.7042543003705228,-0.7084002836423298,-0.6999887209668056,0.6999887209668056,-1.0,0.6999887209668056,-1.0,0.6999887209668056,-1.0,0.6999887209668056,-1.0,0.6999887209668056,blk2
2022-03-21,-3.4100893983185857e-06,-0.25985917942091863,-0.2813749410329889,-0.23701537158093056,0.23701537158093056,-1.0,0.23701537158093056,-1.0,0.23701537158093056,-1.0,0.23701537158093056,-1.0,0.23701537158093056,blk2
