block,row,har_ma_1_x_open,har_ma_1_x_close,har_ma_5_x_open,har_ma_5_x_close,har_ma_25_x_open,har_ma_25_x_close,har_ma_125_x_open,har_ma_125_x_close,har_ma_625_x_open,har_ma_625_x_close,har_ma_3125_x_open,har_ma_3125_x_close,cumrv_x_close,har5rank_x_close
113,102240,-0.025536,0.000000,-0.000000,0.000000,-0.000000,0.083444,-0.000000,0.090467,-0.000000,0.000000,-0.000000,0.034693,-0.005337,-0.043118
114,102720,-0.026679,0.000000,-0.000000,0.000000,-0.000000,0.081917,-0.000000,0.087120,-0.000000,0.000000,-0.000000,0.035859,-0.005248,-0.043011
115,103200,-0.026765,0.000000,-0.000000,0.000000,-0.000000,0.081124,-0.000000,0.086403,-0.000000,0.000000,-0.000000,0.035474,-0.005199,-0.042939
116,103680,-0.028336,0.000000,-0.000000,0.000000,-0.000000,0.083306,-0.000000,0.085607,-0.000000,0.000000,-0.000000,0.036511,-0.005286,-0.042351
117,104160,-0.029442,0.000000,-0.000000,0.000000,-0.000000,0.081188,-0.000000,0.096535,-0.000000,0.000000,-0.000000,0.033706,-0.005472,-0.042463
118,104640,-0.028545,0.000000,-0.000000,0.000000,-0.000000,0.078888,-0.000000,0.094976,-0.000000,0.000000,-0.000000,0.033406,-0.005375,-0.042553
119,105120,-0.028216,0.000000,-0.000000,0.000000,-0.000000,0.078873,-0.000000,0.094248,-0.000000,0.000000,-0.000000,0.032896,-0.005319,-0.042958
120,105600,-0.027096,0.000000,-0.000000,0.000000,-0.000000,0.076817,-0.000000,0.092889,-0.000000,0.000000,-0.000000,0.035571,-0.005297,-0.042579
121,106080,-0.026562,0.000000,-0.000000,0.000000,-0.000000,0.076062,-0.000000,0.091033,-0.000000,0.000000,-0.000000,0.036372,-0.005240,-0.042504
122,106560,-0.027337,0.000000,-0.000545,0.000000,-0.000000,0.076464,-0.000000,0.090021,-0.000000,0.000000,-0.000000,0.037567,-0.005244,-0.041421
123,107040,-0.029221,0.000000,-0.000000,0.000000,-0.000000,0.077321,-0.000000,0.089078,-0.000000,0.000000,-0.000000,0.037751,-0.005257,-0.041747
124,107520,-0.024238,0.000000,-0.003330,0.000000,-0.000000,0.077642,-0.000000,0.090132,-0.000000,0.000000,-0.000000,0.036935,-0.005240,-0.041965
125,108000,-0.027634,0.000000,-0.000343,0.000000,-0.000000,0.077630,-0.000000,0.090847,-0.000000,0.000000,-0.000000,0.037119,-0.005243,-0.042552
126,108480,-0.028253,0.000000,-0.000000,0.000000,-0.000000,0.077934,-0.000000,0.091801,-0.000000,0.000000,-0.000000,0.035328,-0.005190,-0.042851
127,108960,-0.027443,0.000000,-0.000000,0.000000,-0.000000,0.091950,-0.000000,0.102720,-0.000000,0.000000,-0.000000,0.032471,-0.006003,-0.041193
128,109440,-0.026760,0.000000,-0.000000,0.000000,-0.003349,0.108771,-0.000000,0.108743,-0.000000,0.000000,-0.000000,0.025878,-0.006635,-0.039408
129,109920,-0.019864,0.000000,-0.003837,0.000000,-0.007676,0.107484,-0.000000,0.110407,-0.000000,0.000782,-0.000000,0.023344,-0.006545,-0.039471
130,110400,-0.022557,0.000000,-0.003644,0.000000,-0.006993,0.105538,-0.000000,0.111133,-0.000000,0.005377,-0.000000,0.020173,-0.006517,-0.038625
131,110880,-0.019979,0.000000,-0.004116,0.000000,-0.008511,0.105763,-0.000000,0.111066,-0.000000,0.006316,-0.000000,0.020376,-0.006544,-0.039148
132,111360,-0.019051,0.000000,-0.008379,0.000000,-0.005526,0.108472,-0.000000,0.110516,-0.000000,0.005902,-0.000000,0.023428,-0.006658,-0.038552
133,111840,-0.019254,0.000000,-0.009170,0.000000,-0.004786,0.109774,-0.000000,0.109012,-0.000000,0.004286,-0.000000,0.024723,-0.006585,-0.038686
134,112320,-0.022656,0.000000,-0.009847,0.000000,-0.002243,0.115381,-0.000000,0.110213,-0.000000,0.003805,-0.000000,0.021151,-0.006635,-0.039261
135,112800,-0.018591,0.000000,-0.012872,0.000000,-0.002612,0.112795,-0.000000,0.116704,-0.000000,0.001874,-0.000000,0.020136,-0.006681,-0.038373
136,113280,-0.020879,0.000000,-0.012900,0.000000,-0.002619,0.093803,-0.000000,0.129299,-0.000000,0.003126,-0.000000,0.019738,-0.006503,-0.036993
137,113760,-0.020025,0.000000,-0.014174,0.000000,-0.003259,0.088480,-0.000000,0.131391,-0.000000,0.002165,-0.000000,0.022343,-0.006462,-0.036524
138,114240,-0.020278,0.000000,-0.014907,0.000000,-0.003424,0.086721,-0.000000,0.129708,-0.000000,0.001760,-0.000000,0.026132,-0.006418,-0.036181
139,114720,-0.017489,0.000000,-0.015339,0.000000,-0.005155,0.086595,-0.000000,0.128909,-0.000000,0.001232,-0.000000,0.028060,-0.006429,-0.036177
140,115200,-0.018003,0.000000,-0.013721,0.000000,-0.005645,0.087670,-0.000000,0.127746,-0.000000,0.001612,-0.000000,0.027566,-0.006423,-0.036014
141,115680,-0.016716,0.000000,-0.014380,0.000000,-0.005875,0.087432,-0.000000,0.126654,-0.000000,0.002414,-0.000000,0.027932,-0.006413,-0.035767
142,116160,-0.017163,0.000000,-0.015803,0.000000,-0.004426,0.086874,-0.000000,0.125012,-0.000000,0.002326,-0.000000,0.029566,-0.006384,-0.036308
143,116640,-0.017288,0.000000,-0.017544,0.000000,-0.004967,0.086711,-0.000000,0.124537,-0.000000,0.002611,-0.000000,0.030595,-0.006393,-0.035982
144,117120,-0.018705,0.000000,-0.016305,0.000000,-0.004099,0.086094,-0.000000,0.124459,-0.000000,0.002142,-0.000000,0.031417,-0.006387,-0.035603
145,117600,-0.021832,0.000000,-0.013485,0.000000,-0.004643,0.086582,-0.000000,0.124146,-0.000000,0.002624,-0.000000,0.031398,-0.006391,-0.035505
146,118080,-0.025326,0.000000,-0.009544,0.000000,-0.004809,0.085496,-0.000000,0.124490,-0.000000,0.002985,-0.000000,0.031381,-0.006391,-0.035740
147,118560,-0.028508,0.000000,-0.009151,0.000000,-0.002639,0.085004,-0.000000,0.123893,-0.000000,0.003013,-0.000000,0.030711,-0.006325,-0.036222
148,119040,-0.020327,0.000000,-0.013447,0.000000,-0.004463,0.081602,-0.000000,0.124276,-0.000000,0.003069,-0.000000,0.031416,-0.006302,-0.035761
149,119520,-0.023740,0.000000,-0.010928,0.000000,-0.004892,0.083200,-0.000000,0.124194,-0.000000,0.002741,-0.000000,0.032540,-0.006393,-0.035524
150,120000,-0.024059,0.000000,-0.012222,0.000000,-0.006352,0.083018,-0.000000,0.124205,-0.000000,0.001491,-0.000000,0.035143,-0.006432,-0.035376
